Title,Link,Source
Semiannual Risk Perspective: Spring 2023,https://www.occ.gov/publications-and-resources/publications/semiannual-risk-perspective/files/semiannual-risk-perspective-spring-2023.html,OCC
Comptroller's Handbook: Liquidity,https://www.occ.gov/publications-and-resources/publications/comptrollers-handbook/files/liquidity/index-liquidity.html,OCC
Acting Comptroller Keynote at Money 20/20,https://www.occ.gov/news-events/events/files/event-acting-comptroller-keynote-money-20-20.html,OCC
Risk Governance,https://www.occ.gov/news-events/events/files/event-comm-bank-dir-wksp-risk-governance-10-24-2023.html,OCC
Capital Markets,https://www.occ.gov/news-events/events/files/event-comm-bank-dir-wksp-capital-markets-10-25-2023.html,OCC
Idaho Bankers CRA Roundtable,https://www.occ.gov/news-events/events/files/event-cra-banker-roundtable-idaho-oct-25-2023.html,OCC
Federal Reserve Board launches data collection to gather more information from the banks affected by the large bank capital proposal it announced earlier this year,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231020b.htm,Federal Reserve
Agencies extend comment period on proposed rules to strengthen large bank capital requirements,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231020a.htm,Federal Reserve
Federal Reserve Board issues enforcement action and fines Metropolitan Commercial Bank approximately $14.5 million for violations of customer identification rules and for deficient third-party risk management practices,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20231019a.htm,Federal Reserve
"Minutes of the Board's discount rate meetings from August 21 and September 20, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20231017a.htm,Federal Reserve
"Minutes of the Federal Open Market Committee, September 19-20, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20231011a.htm,Federal Reserve
Speech by Vice Chair for Supervision Barr on stress testing,https://www.federalreserve.gov/newsevents/speech/barr20231019a.htm,Federal Reserve
Speech by Chair Powell on the economic outlook,https://www.federalreserve.gov/newsevents/speech/powell20231019a.htm,Federal Reserve
Opening remarks by Vice Chair Jefferson at the 18th Central Bank Conference on the Microstructure of Financial Markets,https://www.federalreserve.gov/newsevents/speech/jefferson20231019a.htm,Federal Reserve
Speech by Governor Waller on the economic outlook,https://www.federalreserve.gov/newsevents/speech/waller20231018a.htm,Federal Reserve
Speech by Governor Cook on the evolution of the Federal Reserve's employment mandate,https://www.federalreserve.gov/newsevents/speech/cook20231018a.htm,Federal Reserve
"Testimony by Michael S. Gibson, Director of Supervision and Regulation, on climate-related financial risks",https://www.federalreserve.gov/newsevents/testimony/gibson20230718a.htm,Federal Reserve
Testimony by Chair Powell on the semiannual Monetary Policy Report to the Congress,https://www.federalreserve.gov/newsevents/testimony/powell20230621a.htm,Federal Reserve
Testimony by Governor Cook at her nomination hearing,https://www.federalreserve.gov/newsevents/testimony/cook20230621a.htm,Federal Reserve
Testimony by Governor Jefferson at his nomination hearing,https://www.federalreserve.gov/newsevents/testimony/jefferson20230621a.htm,Federal Reserve
Testimony by Vice Chair for Supervision Barr on supervision and regulation,https://www.federalreserve.gov/newsevents/testimony/barr20230516a.htm,Federal Reserve
SoCal Bankers CRA Roundtable: Reconnecting Community Leaders,https://www.occ.gov/news-events/events/files/event-cra-socal-bankers-roundtable-oct-25-2023.html,OCC
Acting Comptroller Issues Statements on CRA and Climate-Related Financial Risk Management,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-119.html,OCC
Acting Comptroller Issues Statements at FDIC Board Meeting on CRA and Climate-Related Financial Risk Management,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-119.html,OCC
Agencies Issue Principles for Climate-Related Financial Risk Management for Large Financial Institutions,https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-118.html,OCC
Agencies Issue Final Rule to Strengthen and Modernize Community Reinvestment Act Regulations,https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-117.html,OCC
Risk Management: Principles for Climate-Related Financial Risk Management for Large Financial Institutions,https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-33.html,OCC
Community Reinvestment Act: Interagency Final Rulemaking to Implement the CRA,https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-32.html,OCC
Agencies issue principles for climate-related financial risk management for large financial institutions,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231024b.htm,Federal Reserve
Agencies issue final rule to strengthen and modernize Community Reinvestment Act regulations,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231024a.htm,Federal Reserve
Federal Reserve Board announces termination of enforcement action,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20231026a.htm,Federal Reserve
Federal Reserve Board requests comment on a proposal to lower the maximum interchange fee that a large debit card issuer can receive for a debit card transaction,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231025a.htm,Federal Reserve
Welcoming remarks by Governor Waller at the Economics of Payments XII Conference,https://www.federalreserve.gov/newsevents/speech/waller20231026a.htm,Federal Reserve
Introductory remarks by Chair Powell at the 2023 Daniel Patrick Moynihan Lecture on Social Science and Public Policy,https://www.federalreserve.gov/newsevents/speech/powell20231025a.htm,Federal Reserve
Opening remarks by Vice Chair for Supervision Barr at the Economics of Payments XII Conference,https://www.federalreserve.gov/newsevents/speech/barr20231027a.htm,Federal Reserve
Montana Community Development Forum: Capacity Building for Nonprofits,https://www.occ.gov/news-events/events/files/event-montana-community-dev-forum-nov-1-2023.html,OCC
Acting Comptroller Participates in DC Fintech Week,https://www.occ.gov/news-events/events/files/event-acting-comptroller-dc-fintech-week.html,OCC
Building Blocks: Developing Strong Management,https://www.occ.gov/news-events/events/files/event-comm-bank-dir-wksp-building-blocks-11-7-to-8-2023.html,OCC
Helping Minnesota's Entrepreneurs Through the State Small Business Credit Initiative,https://www.occ.gov/news-events/events/files/event-helping-minnesota-entrepreneurs-nov-7-2023.html,OCC
Telephone Consumer Protection Act: Revised Interagency Examination Procedures and Rescissions,https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-35.html,OCC
"Commercial Lending: Venture Loans to Companies in an Early, Expansion, or Late Stage of Corporate Development",https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-34.html,OCC
Acting Comptroller Discusses the Community Reinvestment Act,https://www.occ.gov/news-events/events/files/event-acting-compt-discusses-cra-nov-3-2023.html,OCC
Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20231101a.htm,Federal Reserve
Acting Comptroller Issues Statement at Financial Stability Oversight Council Meeting on Nonbank Designations Guidance,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-121.html,OCC
OCC Releases CRA Evaluations for 24 National Banks and Federal Savings Associations,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-120.html,OCC
Acting Comptroller Discusses CRA,https://www.occ.gov/news-events/events/files/event-acting-comptroller-diccuss-cra.html,OCC
Speech by Governor Cook on financial stability,https://www.federalreserve.gov/newsevents/speech/cook20231106a.htm,Federal Reserve
Affordable Account Access,https://www.occ.gov/news-events/events/files/event-affordable-account-access-nov-9-2023.html,OCC
CRA Basics Workshop for Bankers,https://www.occ.gov/news-events/events/files/event-cra-richmond-va-112923.html,OCC
Supporting Affordable Housing and Small Businesses for Native American Veterans in North and South Dakota,https://www.occ.gov/news-events/events/files/event-support-affordable-housing-small-business-nov-29-2023.html,OCC
Community Reinvestment Act for Community-Based Organizations,https://www.occ.gov/news-events/events/files/event-cra-for-community-based-organizations-dec-12-2023.html,OCC
Remarks by Governor Bowman on the economy and prioritization of bank supervision and regulation,https://www.federalreserve.gov/newsevents/speech/bowman20231109a.htm,Federal Reserve
"Opening remarks by Chair Powell at ""Monetary Policy Challenges in a Global Economy,"" a policy panel at the 24th Jacques Polak Annual Research Conference hosted by the International Monetary Fund",https://www.federalreserve.gov/newsevents/speech/powell20231109a.htm,Federal Reserve
Opening remarks by Chair Powell at a conference celebrating the centennial of the Division of Research and Statistics,https://www.federalreserve.gov/newsevents/speech/powell20231108a.htm,Federal Reserve
Closing remarks by Vice Chair Jefferson at a conference celebrating the centennial of the Division of Research and Statistics,https://www.federalreserve.gov/newsevents/speech/jefferson20231108a.htm,Federal Reserve
Speech by Governor Cook on financial stability,https://www.federalreserve.gov/newsevents/speech/cook20231108a.htm,Federal Reserve
OCC Symposium on the Tokenization of Real-World Assets and Liabilities,https://www.occ.gov/news-events/events/files/event-other-occ-symposium.html,OCC
"Welcoming remarks by Governor Cook at the 5th annual conference on ""Nontraditional Data, Machine Learning, and Natural Language Processing in Macroeconomics""",https://www.federalreserve.gov/newsevents/speech/cook20231113a.htm,Federal Reserve
Acting Comptroller Testifies on Bank Supervision,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-124.html,OCC
Registration Open for OCC Symposium on the Tokenization of Real-World Assets and Liabilities,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-123.html,OCC
Acting Comptroller of the Currency Testifies on Bank Supervision,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-124.html,OCC
Registration Open for OCC Symposium on the Tokenization of Real-World Assets and Liabilities,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-123.html,OCC
Agencies Announce Dollar Thresholds for Smaller Loan Exemption from Appraisal Requirements for Higher-priced Mortgage Loans,https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-122.html,OCC
Agencies announce dollar thresholds for applicability of truth in lending and consumer leasing rules for consumer credit and lease transactions,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231113b.htm,Federal Reserve
Agencies announce dollar thresholds for smaller loan exemption from appraisal requirements for higher-priced mortgage loans,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231113a.htm,Federal Reserve
"Keynote address by Vice Chair Jefferson at the Conference on Global Risk, Uncertainty, and Volatility",https://www.federalreserve.gov/newsevents/speech/jefferson20231114a.htm,Federal Reserve
Testimony by Vice Chair for Supervision Barr on supervision and regulation,https://www.federalreserve.gov/newsevents/testimony/barr20231113a.htm,Federal Reserve
Agencies Extend Comment Period on Proposed Rule to Require Large Banks to Maintain Long-term Debt,https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-127.html,OCC
Agencies Extend Comment Period on Proposed Rule to Require Large Banks to Maintain Long-term Debt,https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-127.html,OCC
OCC Announces Enforcement Actions for November 2023,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-126.html,OCC
Acting Comptroller of the Currency Testifies on Regulatory Priorities,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-125.html,OCC
Promoting Bank Account Access in Underserved Communities in Maine and Rhode Island,https://www.occ.gov/news-events/events/files/event-promoting-bank-account-access-dec-11-2023.html,OCC
Agencies extend comment period on  proposed rule to require large banks to maintain long-term debt,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231122a.htm,Federal Reserve
"Federal Reserve Board announces approval of application by NB Bancorp, Inc.",https://www.federalreserve.gov/newsevents/pressreleases/orders20231121a.htm,Federal Reserve
Federal Reserve Board issues enforcement action,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20231121a.htm,Federal Reserve
"Minutes of the Federal Open Market Committee, October 31-November 1, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20231121a.htm,Federal Reserve
"Federal Reserve Board announces pricing, effective January 2, 2024, for payment services the Federal Reserve Banks provide to banks and credit unions, such as the clearing of checks, ACH transactions, and wholesale payment settlement services",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231117a.htm,Federal Reserve
Speech by Vice Chair for Supervision Barr on financial stability,https://www.federalreserve.gov/newsevents/speech/barr20231116a.htm,Federal Reserve
Speech by Governor Cook on global linkages and spillovers,https://www.federalreserve.gov/newsevents/speech/cook20231116a.htm,Federal Reserve
OCC Issues First and Second Quarter 2024 CRA Evaluation Schedule,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-128.html,OCC
Acting Comptroller Discusses Financial Inclusion,https://www.occ.gov/news-events/events/files/event-acting-comptroller-discusses-financial-inclusion-dec-5-2023.html,OCC
"Minutes of the Board's discount rate meetings from October 23 through November 1, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20231128a.htm,Federal Reserve
Federal Reserve Board announces termination of enforcement action,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20231128a.htm,Federal Reserve
Federal Reserve Board announces annual indexing of reserve requirement exemption amount and low reserve tranche for 2024,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231127a.htm,Federal Reserve
Speech by Vice Chair for Supervision Barr on bank supervision and regulation,https://www.federalreserve.gov/newsevents/speech/barr20231201a.htm,Federal Reserve
Speech by Governor Bowman on monetary policy and the economy,https://www.federalreserve.gov/newsevents/speech/bowman20231128a.htm,Federal Reserve
Speech by Govenor Waller on the economic outlook,https://www.federalreserve.gov/newsevents/speech/waller20231128a.htm,Federal Reserve
Speech by Vice Chair for Supervision Barr on Community Reinvestment Act,https://www.federalreserve.gov/newsevents/speech/barr20231128a.htm,Federal Reserve
"OCC Solicits Research on Depositor Behavior, Bank Liquidity, and Run Risk",https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-131.html,OCC
OCC Publishes 2024 Assessments for National Banks and Federal Savings Associations,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-130.html,OCC
OCC Releases Virtual Workshop Schedule for Community Bank Directors and Senior Management,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-132.html,OCC
"OCC Solicits Research on Depositor Behavior, Bank Liquidity, and Run Risk",https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-131.html,OCC
OCC Publishes 2024 Assessments for National Banks and Federal Savings Associations,https://www.occ.gov/news-issuances/news-releases/2023/nr-occ-2023-130.html,OCC
Office of the Comptroller of the Currency Fees and Assessments: Calendar Year 2024 Fees and Assessments Structure,https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-36.html,OCC
Acting Comptroller Discusses State of Financial Inclusion,https://www.occ.gov/news-events/events/files/event-acting-comptroller-discusses-state-of-financial-inclusion.html,OCC
Opening remarks by Chair Powell at a fireside chat at Spelman College,https://www.federalreserve.gov/newsevents/speech/powell20231201a.htm,Federal Reserve
"Testimony by Michael S. Gibson, Director, Division of Supervision and Regulation, on innovation",https://www.federalreserve.gov/newsevents/testimony/gibson20231205a.htm,Federal Reserve
Acting Comptroller to Offer Remarks on Bank Mergers,https://www.occ.gov/news-events/events/files/event-acting-comptroller-speech-bank-mergers-1-2024.html,OCC
OCC Hosts Appraisal Subcommittee Public Hearing on Appraisal Bias,https://www.occ.gov/news-issuances/news-releases/2024/nr-occ-2024-2.html,OCC
Acting Comptroller to Offer Remarks on Bank Liquidity,https://www.occ.gov/news-events/events/files/event-acting-comptr-speech-columbia-law-school-1-2024.html,OCC
OCC Hosts Public Appraisal Subcommittee Hearing on Appraisal Bias,https://www.occ.gov/news-issuances/news-releases/2024/nr-occ-2024-2.html,OCC
OCC Releases CRA Evaluations for 25 National Banks and Federal Savings Associations,https://www.occ.gov/news-issuances/news-releases/2024/nr-occ-2024-1.html,OCC
"Federal Bank Regulatory Agencies Release 2022 Small Business, Small Farm, and Community Development Lending Data",https://www.occ.gov/news-issuances/news-releases/2023/nr-ia-2023-142.html,OCC
Civil Money Penalties: Notice Adjusting Maximum Civil Money Penalties for 2024,https://www.occ.gov/news-issuances/bulletins/2024/bulletin-2024-2.html,OCC
State Small Business Credit Initiative 2.0: Frequently Asked Questions,https://www.occ.gov/news-issuances/bulletins/2024/bulletin-2024-1.html,OCC
Rules of Practice and Procedure: Final Rule,https://www.occ.gov/news-issuances/bulletins/2023/bulletin-2023-41.html,OCC
Quarterly Report on Bank Trading and Derivatives Activities: Third Quarter 2023,https://www.occ.gov/publications-and-resources/publications/quarterly-report-on-bank-trading-and-derivatives-activities/files/q3-2023-derivatives-quarterly.html,OCC
Mortgage Metrics Report: Third Quarter 2023,https://www.occ.gov/publications-and-resources/publications/mortgage-metrics-reports/files/mortgage-metrics-report-q3-2023.html,OCC
2023 Annual Report,https://www.occ.gov/publications-and-resources/publications/annual-report/files/2023-annual-report.html,OCC
Semiannual Risk Perspective: Fall 2023,https://www.occ.gov/publications-and-resources/publications/semiannual-risk-perspective/files/semiannual-risk-perspective-fall-2023.html,OCC
Acting Comptroller Discusses Bank Liquidity Safety and Soundness Post-March 2023,https://www.occ.gov/news-events/events/files/event-acting-comptr-speech-columbia-law-school-1-2024.html,OCC
Community Bank Director Workshop: Operational Risk,https://www.occ.gov/news-events/events/files/event-comm-bank-dir-wksp-operational-risk-01-18-2024.html,OCC
Community Reinvestment Act Basics for Community-Based Organizations,https://www.occ.gov/news-events/events/files/event-cra-toledo-011824.html,OCC
Acting Comptroller Speech on Bank Mergers,https://www.occ.gov/news-events/events/files/event-acting-comptroller-speech-bank-mergers-1-2024.html,OCC
Federal Reserve Board issues enforcement actions,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20240111a.htm,Federal Reserve
"Minutes of the Board's discount rate meetings from November 13 through December 13, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20240109a.htm,Federal Reserve
Federal Reserve Board announces the designation of the Chairs and Deputy Chairs of the 12 Federal Reserve Banks for 2024,https://www.federalreserve.gov/newsevents/pressreleases/other20240105a.htm,Federal Reserve
"Minutes of the Federal Open Market Committee, December 12-13, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20240103a.htm,Federal Reserve
Agencies release annual asset-size thresholds under Community Reinvestment Act regulations,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20231220a.htm,Federal Reserve
Speech by Governor Bowman at the South Carolina Bankers Association 2024 Community Bankers Conference,https://www.federalreserve.gov/newsevents/speech/bowman20240108a.htm,Federal Reserve
Speech by Governor Bowman on building a more inclusive financial system through collaboration and action,https://www.federalreserve.gov/newsevents/speech/bowman20231205a.htm,Federal Reserve
